checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2017,7,403,Digital,OverDrive,AUDIOBOOK,The Power of Habit: Why We Do What We Do in Life and Business (unabridged) (Unabridged),,Charles Duhigg,"Business, Nonfiction, Psychology, Self-Improvement",Books on Tape,2012,balanced_by_year_and_usageclass
2017,8,388,Digital,OverDrive,AUDIOBOOK,Commonwealth (Unabridged),,Ann Patchett,"Fiction, Literature",HarperCollins Publishers Inc.,2016,balanced_by_year_and_usageclass
2017,9,320,Digital,OverDrive,AUDIOBOOK,"Night School: Jack Reacher Series, Book 21 (unabridged) (Unabridged)",,Lee Child,"Fiction, Mystery, Suspense, Thriller",Books on Tape,2016,balanced_by_year_and_usageclass
2017,10,308,Digital,OverDrive,AUDIOBOOK,The Princess Diarist (Unabridged),,Carrie Fisher,"Essays, Humor (Nonfiction), Nonfiction, Self Help",Books on Tape,2016,balanced_by_year_and_usageclass
2018,1,1157,Digital,OverDrive,AUDIOBOOK,The Red Pencil (Unabridged),,Andrea Davis Pinkney,"Juvenile Fiction, Juvenile Literature",Hachette Audio,2014,balanced_by_year_and_usageclass
2018,2,759,Digital,OverDrive,EBOOK,Origin: A Novel,,Dan Brown | Diana Abu-Jaber,"Fiction, Literature, Mystery, Thriller | Fiction, Suspense, Thriller","Random House, Inc. | W. W. Norton & Company",2015 | 2017,balanced_by_year_and_usageclass
2018,3,753,Digital,OverDrive,EBOOK,"Crazy Rich Asians: Rich Series, Book 1",,Kevin Kwan,"Fiction, Humor (Fiction), Literature, Romance","Random House, Inc.",2013,balanced_by_year_and_usageclass
2018,4,672,Digital,Zinio,MAGAZINE,Cook's Illustrated,,,,,,balanced_by_year_and_usageclass
2018,5,666,Digital,OverDrive,EBOOK,Commonwealth,,Ann Patchett,"Fiction, Literature",HarperCollins Publishers Inc.,2016,balanced_by_year_and_usageclass
2018,6,604,Digital,OverDrive,EBOOK,"Outlander: Outlander Series, Book 1",,Diana Gabaldon,"Fantasy, Fiction, Historical Fiction, Romance","Random House, Inc.",2008,balanced_by_year_and_usageclass
2018,7,588,Digital,Zinio,MAGAZINE,Outside,,,,,,balanced_by_year_and_usageclass
2018,8,501,Digital,OverDrive,EBOOK,The Power,,Naomi Alderman | Rhonda Byrne,"Fantasy, Fiction, Literature, Science Fiction | New Age, Nonfiction, Self-Improvement","Hachette Digital, Inc. | Simon & Schuster, Inc.",2014 | 2017,balanced_by_year_and_usageclass
