usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear,sample_design
Physical,Horizon,VIDEODISC,2014,8,147,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2014,9,124,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2014,10,130,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2014,11,111,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2014,12,140,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,1,109,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,2,103,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,3,109,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,4,115,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2015,5,101,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
